title,body,visibility,tags
final grades posted,as you probably know final grades are now posted on sio for some of you the grade is not exactly what you predicted it would be please understand that we do not issue grades solely based on a total score we use the total score as a guide but we examine your overall performance in determining your final grade in some cases although the grade was at the far bottom of what you thought was the range for a specific letter you got the letter below that for example if you had a total the grade may have come out as a d generally a lower grade than expected is issued because the exams were far lower than the homework or because the grade was higher due to exams but many programming assignments were very low or missing etc if we saw a student where one part of their grades was way out of alignment with the rest of their grades this did not convince us to give the higher grade we discussed each of these at length there is no absolute borderline between grades for example an a is not or higher we examine students near that number above and below on a case by case basis which is why grades didn't come out quickly some go up to a some go down to b depending on overall performance on exams where you do not have extra help and then the assignments for more information http www cs cmu edu about shtml grading we will answer each question we do get as soon as we can but unless there was a computation error in our grade spreadsheet or an entry error we will not be changing final grades we wish you the best for the winter break and hope that it is restful best wishes for the new year tom iliano pin,public,final
question about grades,hi i was wondering if there is any chance that the final grades could be changed after today i read the email you sent out about our grades reflecting our performance in class and i feel pretty awful that i had a b all semester because i had put a lot of effort into the hw assignments but because of my poor performance on the midterms my performance is considered c material,private,final
letter grade,hi i got a total raw score of but got a letter grade b could you explain which part of my grades caused me getting a b instead of an a the following is my raw score for each assessment from grade forcaster thanks,private,final
final grade issue,hi final grades on sio came out today and my grade does not math that of my grade on grade forecaster on grade forecaster i received a as my final grade after everything was inputted on sio i received a d i believe there is an issue with my final grade if you could take a look at this or give me any information on why this has happened it would be greatly appreciated thank you in advance kendrick tse,private,final
reminder complete your course evaluations,if you still have not completed faculty and ta evaluations today is your last day to do so the forms will close at midnight tonight ta evaluations https www ugrad cs cmu edu ta f freeform course cgi course a principles of imperative computationcourse fces https cmu smartevals com,public,logistics
how accurate is the graph in the grade forecaster,i was wondering how accurate is the graph in the grade forecaster it seems like the numbers in the graph average up for grades to is that how we should expect say be and so,private,final
participation graded final grade,so in the grade forecaster is the number in participation graded in the graph our numeric total semester score out of i e the number in which we will be given letter grades based on approximately a for b for etc thanks,private,final
final grade,the final is graded the grades are posted on the course web page click on the grades menu authenticate and you'll see your grades for this exam and a projection for future assessments the participation entry accounts for all quizzes labs and recitations this is a complete set of grades here are some statistics for the final normalized as percentages max min t avg median stddev as usual the average and median are some percentage points lower than homeworks this is something we observe every semester and on every exam we will not release the graded final you are however welcome to come see either tom or iliano when classes start in january to go over your final grading mistakes will be corrected then but note that your letter grade for the course will not be affected by a variation of a couple of points in the final the course letter grades will be posted on s by wednesday see for how letter grades are determined,public,final
mobaxterm setup outside cmu,just a quick question i am changing my laptop this winter break and i am planning to setup mobaxterm on the new laptop windows pc as i did in my current laptop will the setup process that was posted in piazza in the beginning of this semester work even outside cmu i e the internet wifi won't be cmu secure and so on thank you,private,other
more casting questions,are large signed small unsigned and large unsigned small signed implementation defined or undefined is there a usual common practice behavior,public,final
