title,body,visibility,tags
Lightsout grades,"<p>Prog 10 (lightsout) is graded. The grades are posted on the course web page. Click on the ""Grades"" menu, authenticate, and you'll see your grades for this homework, and a projection for future assessments. <em><strong>This is a good way to get a sense of where you are headed in the course</strong></em>, and take action if it does not match your expectations. The ""Participation"" entry accounts for all quizzes and labs up to today.<br /><br />Here are some statistics, normalized as percentages:</p> <pre>Max     100.0% Min\t  0.0% Avg      86.5% Median  100.0% StdDev   24.1</pre> <p>You can access test outcomes on Autolab.</p> <p></p> <p><strong>Note</strong>: some people got 0 because they ran out of grace days.\xa0 In one case this was an Autolab mistake; if you believe Autolab made a mistake in your case too, email me.</p> <p></p> <p>We do occasionally make mistakes.\xa0 If you feel we incorrectly graded a question, you have <strong>5 days</strong> from now to submit an appeal using the grade appeal procedure on the course web page.\xa0 We will not consider email or oral requests.</p> #pin",public,lightsout
Carnival Office Hours,"<p>Due to carnival, we\xa0are canceling office hours Wednesday-Friday this week. Office hours will resume as normal on Saturday.</p> <p></p> <p>#pin</p>",public,logistics
Found Charger in Monday OH,<p>Found a charger in last night's office hours. Email me if you lost one (andrewid: farchond) and we can arrange to give it back to you!</p> <p></p> <p>#pin</p>,public,other|lightsout
TA Applications,"<p>For those of you interested in applying to be a TA, the application(s) can be found at:</p> <p></p> <p>-\xa0<a href=""https://www.ugrad.cs.cmu.edu/ta/F17/"" target=""_blank"">https://www.ugrad.cs.cmu.edu/ta/F17/</a>\xa0 (Fall)<br />-\xa0<a href=""https://www.ugrad.cs.cmu.edu/ta/N17/"" target=""_blank"">https://www.ugrad.cs.cmu.edu/ta/N17/</a>\xa0 (Summer II)</p> <p></p> <p><strong>Note:</strong> we generally don't hire students as TAs the semester after they took 15-122 (we prefer to let the concepts gel for at least a semester).\xa0 Said that, feel free to apply and we'll see how things pan out.</p> <p></p> <p>#pin</p>",public,other
Carnival homework schedule,"<p>As you are probably aware of, Carnival starts on Thursday April 20th.\xa0 But Thursdays are when programming assignments are typically due.\xa0 In the past, when we kept it that way, we had a lot of unhappy people working on their code while everybody else was having a good time.\xa0 To avoid this, in recent years we have been shifting the schedule a bit.\xa0 Namely, for about 2 weeks starting right after midterm 2, written and programming assignments will be swapped (written hw due on Thursdays and programming hw on Mondays).\xa0 Specifically (major changes are in <strong>bold</strong>):</p> <ul><li>written 10 is due on Monday April 3 (normal schedule)</li><li><em><strong>nothing</strong> is due on <strong>Thursday April 6</strong></em> (the day of midterm 2)</li><li><strong>prog 9</strong> is due on <strong>Monday April 10</strong></li><li><strong>written 11</strong> is due on <strong>Thursday April 13</strong></li><li><strong>prog 10</strong> is due on <strong>Monday April 17</strong></li><li>written 12 is due on Monday April 24 (back to normal schedule)</li><li>prog 11(a) is due on Thursday April 27 (back to normal schedule)</li></ul> <p>After that, the schedule is normal again.</p> <p></p> <p>See the hw schedule on the course web page for details</p> #pin",public,logistics
How to Do Well on Programming Homeworks,"<p>As we move into the last part of the semester, you'll notice that the programming homework assignments are getting longer, more complex, and more difficult. Instead of telling you exactly what to do and how to do it, the programming assignment writeups will focus more on describing the fundamental concepts and expectations behind the assignment. If you\xa0follow these steps, you will probably learn more and do better on these assignments:</p> <p></p> <ol><li><strong>Start early.</strong> While in past weeks you might have been able to complete the programming assignments in a couple days, you\xa0probably will not be able to do this going forward.</li><li><strong>Read the writeup carefully</strong><strong>.\xa0</strong>Don't skip the sections at the beginning and jump to the task descriptions. Don't rely on ""folk wisdom"" from friends and classmates. If you haven't read or don't\xa0understand every\xa0section of\xa0the writeup, you\xa0will have trouble completing the assignment correctly.\xa0If you have a question or are stuck on a task, reread the relevant sections of the writeup first.</li><li><strong>Use the search field on Piazza</strong>. Admittedly, the search\xa0functionality on Piazza isn't the best, but you should be able to get good results by searching for a single keyword.</li><li><strong>Don't forget about the beginning of the course</strong><strong>.</strong> Remember contracts, loop invariants, and correctness proofs? While you might not be able to completely prove that your code is correct, you should be able to reason through your logic and consider\xa0whether the code\xa0you've written makes logical sense. ""Hacking on the code until it works"" is rarely a good strategy for writing correct code.</li></ol> <p></p> <p>#pin</p>",public,ropes|lightsout|c0vm|queues
Office Hours,"<p>The office hour schedule for the entire semester has been finalized:</p> <ul><li><strong>Mondays</strong>: 6-8pm in WEH 5403</li><li><strong>Tuesdays</strong>:<br />\xa0 \xa0 \xa0 \xa0 noon-2pm in GHC 4109,<br />\xa0 \xa0 \xa0 \xa0 3-4pm in GHC 6007,<br />\xa0 \xa0 \xa0 \xa0 6-10pm in GHC 4307</li><li><strong>Wednesday</strong>: 6-10pm in GHC 4307</li><li><strong>Thursdays</strong>:<br />\xa0 \xa0 \xa0 \xa0 3-4pm in GHC 6007,<br />\xa0 \xa0 \xa0 \xa0 6-8pm in GHC 4307 <em>(conceptual office hours -- no programming assignment-specific questions)</em></li><li><strong>Fridays</strong>: 5-9pm in GHC 4307</li><li><strong>Saturdays</strong>: 3-5pm in GHC 4307</li><li><strong>Sundays</strong>: 2-6pm in GHC 4307</li></ul> <p>You can see the schedule in calendar form on the course web page.</p> <p></p> <p>This office hour schedule takes effect immediately.</p> <p>#pin</p>",public,logistics
Search for Teammates!,"<script type=""text/javascript"">PA.load(""/dashboard/project_partners"", null, function(data){ $('#' + 'questionText').html(data);});</script> #pin",private,
using int_min and int_max,"<p>how can we use int_min and int_max, what libraries do we need to include</p>",public,c0vm
monday lab points not showing up on grade forecaster,"Hi,   I attended monday's lab and got 3 points, but on grade forecaster, it was not added after the lightsout grade is posted. Could you please what's wrong? Thanks!",private,labs
